dataset,c1,c2,c3,c4,l1,l2,s1,s2,s3,l3,s4,t2
Syn_Reg_1inf_8f,0.9999577773086368,0.15433182590917677,-0.5,0.0,0.0007035309415887361,7.371067024034832e-07,0.08814213890363959,0.6298174609294799,0.011336766792944708,4.6993755539244213e-07,0.0032955074046500917,37.5
Syn_Reg_2f_linear,0.9502118912432359,0.6261625129168101,-0.5,0.03,0.0001716567362490162,4.563616681234208e-08,0.017306722435524707,0.16897817389906827,0.0005286455191674183,2.9275283316326737e-08,0.0002553115741787597,150.0
Syn_Reg_2inf_0red,0.9976737519305771,0.271193679929777,-0.5,0.0,0.0009305824385984607,1.3561487750942007e-06,0.047298258279989944,0.4005871013998691,0.0035654562807519285,8.335150629299793e-07,0.0014208293214806914,75.0
Syn_Reg_2inf_10red_noise,0.9434331492572139,0.10461277717900568,-0.5,0.0,0.006096228902570582,6.0710238454609736e-05,0.12649182528994424,0.9186527342865918,0.024263313912584586,4.178695062859595e-05,0.00691762603337288,20.0
Syn_Reg_2inf_4red,0.989078989766553,0.16704196713296812,-0.5,0.0,0.001171736236759484,2.095605033374274e-06,0.08789566802618227,0.6252285137296486,0.011321907535241815,1.4224101482083029e-06,0.0033425062982121627,37.5
Syn_Reg_2inf_8red,0.7063589595439949,0.15645536802260765,0.38,0.02,0.001652119468201586,4.170093108616729e-06,0.0819270526498076,0.8067018358451672,0.010029106600189406,2.6810614984820214e-06,0.0032777402743378392,25.0
Syn_Reg_3inf_12red,0.9053318370204113,0.12001075567506306,-0.5,0.0,0.001118747139652022,2.035494224040816e-06,0.11605005160152676,0.9162162423695573,0.020763418237017675,1.4467220710425676e-06,0.005759292201279558,20.0
Syn_Reg_5f_linear,0.837972421915799,0.3676240847120524,0.13666666666666666,0.11666666666666667,0.00013730099308929475,3.0743818114440843e-08,0.06556263127468757,0.4570326551159097,0.00636735075645514,1.9964087766761445e-08,0.0015505121475626628,60.0
Syn_Reg_corr_high,0.8588739874887498,0.7747766086289847,0.12,0.056666666666666664,0.04624457291864013,0.0034327159123610966,0.0795543410329058,0.30197546798541447,0.01052853730804415,0.0023417171902615098,0.003406832998155352,60.0
Syn_Reg_corr_highdim,0.65310770119668,0.3830287003188924,0.36,0.04666666666666667,0.019646687194245938,0.0005863779044280123,0.08205399490136385,0.6449837061302359,0.010089575625573713,0.0003827176849440502,0.003602314983060789,30.0
