dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Cirrhosis,0.6782634546884133,0.29946962845842034,0.12539441054773653,0.9440203562340967,0.8600508905852418,0.02109678587908165,0.21374045801526717,0.16641221374045798,0.15903307888040713,0.42687054292405946,0.33587786259541985,0.20254452926208652,0.7633587786259542,0.987737052360326,0.9703094978449395,0.6322002779120852,0.8718660384284141,0.043256997455470736,0.03307888040712468,0.7647058823529411,0.023673551802589565,0.06321399460781252
Kidney Risk,0.0,0.054866025522068755,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.3436553570805606,0.0,0.0,0.335,0.784775,0.9359296482412061,0.6801652285601528,0.748437397592743,0.14,0.095,0.6785714285714286,0.057316810744507785,0.14540059347181
Sonar,0.6844043073334158,0.13179146250368884,1.045339189346414e-06,0.9471153846153846,0.0,0.0035615308524811584,0.08173076923076923,0.044711538461538455,0.0889423076923077,0.4145283654961678,0.125,0.09951923076923078,0.8076923076923077,0.9664154955621301,0.988015607580825,0.6493230241038498,0.9339875853732758,0.28846153846153844,0.1346153846153846,0.4666666666666667,0.003270410979163474,0.009019788311090626
Thyroid Cancer,0.300525270602182,0.09154633074132276,0.0,0.9164490861618799,0.8825065274151436,0.01551036285752223,0.08877284595300261,0.05039164490861618,0.0587467362924282,0.2892985734017043,0.13315926892950392,0.0618798955613577,0.370757180156658,0.8809863043582,0.7747597501127773,0.3685320922025289,0.5694944644014655,0.04177545691906005,0.031331592689295036,0.75,0.1418594638895616,0.3195018845444443
Magic Gamma,0.7239556901978511,0.3578860933851867,0.019620275544610044,0.9533333333333334,0.8533333333333334,0.021527806269816083,0.22666666666666666,0.19,0.11333333333333333,0.3900844218483557,0.21833333333333338,0.1655,0.615,0.9850694444444444,0.8401558152476349,0.3420278725181076,0.6542481222518224,0.016666666666666666,0.01,0.6,0.06445227119886032,0.16178347851839758
Mammographic Mass,0.511460138432406,0.22330086697703905,0.7435897435897435,0.9516666666666667,0.9516666666666667,0.025073511934789884,0.175,0.13216666666666665,0.11833333333333333,0.2780991989311429,0.26,0.14966666666666667,0.42333333333333334,0.9866555555555555,0.8596994991652754,0.3069789137455229,0.7541325224314177,0.008333333333333333,0.006666666666666667,0.8,0.003882731120855354,0.01069802396003705
Diabetic Retinopathy,0.8200629816238248,0.4513765251322423,0.0,0.9483333333333334,0.8383333333333334,0.008005106773038518,0.2816666666666667,0.2341666666666667,0.1975,0.42461046983831674,0.3816666666666667,0.2896666666666667,0.8266666666666667,0.9949,0.8903561491374513,0.3053429741539776,0.7746012888634402,0.03166666666666667,0.01,0.3157894736842105,0.002895342459241723,0.007990172751519031
Parkinsons,0.5162519892030635,0.1616230523731263,1.1313363339068221e-09,0.6410256410256411,0.015384615384615385,0.014610217816429608,0.13333333333333333,0.0964102564102564,0.041025641025641026,0.3019100104090902,0.03589743589743588,0.06615384615384616,0.3384615384615385,0.9004076265614727,0.8182394924662966,0.29719044340632517,0.6215471716394425,0.11282051282051282,0.041025641025641026,0.36363636363636365,0.1948749925353177,0.40986074520135485
Phishing Websites,0.34870077529490145,0.09594308257188904,0.0,0.875,0.875,0.008808384158268763,0.07333333333333333,0.03933333333333333,0.07083333333333333,0.38759717563191565,0.1233333333333333,0.04616666666666666,0.645,0.9875416666666667,0.9669616026711185,0.5684127384333704,0.8801336559725024,0.05,0.03666666666666667,0.7333333333333333,0.009285245386868923,0.02536311378296552
EEG Eye State,0.9624376453203346,0.6000895705992335,0.02914470993429021,0.975,0.8216666666666667,0.012680385959038488,0.32166666666666666,0.29500000000000004,0.1,0.40116918677685,0.15333333333333332,0.18966666666666665,0.8066666666666666,0.9924361111111111,0.6760155815247635,0.1303159401549463,0.5645292045540513,0.023333333333333334,0.011666666666666667,0.5,0.0077161548056539075,0.021129934807225137
Vertebral Column,0.45102987942483985,0.1673773320816971,0.003402927645145336,0.36,0.2,0.0038942502839034512,0.08,0.05600000000000001,0.058,0.33300830607880655,0.11199999999999999,0.07799999999999999,0.412,0.952624,0.8097991967871486,0.2863089584487992,0.72110692391571,0.024,0.016,0.6666666666666666,0.029049405545331308,0.07692307692307687
Rice,0.16514884968587018,0.08307803136295469,0.015326055940951284,0.54,0.44333333333333336,0.005331281844174121,0.055,0.026500000000000003,0.041666666666666664,0.19315147531556925,0.07833333333333337,0.025833333333333337,0.19333333333333333,0.915,0.851341124095715,0.34365544729673236,0.7419042498398398,0.011666666666666667,0.005,0.42857142857142855,0.014870849404287845,0.04026173393286814
Bank Marketing,0.7267296228644105,0.2364565676501859,0.10120007532926553,0.7333333333333333,0.7133333333333334,0.01980407920773509,0.10666666666666667,0.10433333333333332,0.07333333333333333,0.34229085435479434,0.16000000000000003,0.10133333333333334,0.44166666666666665,0.9717583333333333,0.9748580968280467,0.6049529027701877,0.9077985439396192,0.02666666666666667,0.018333333333333333,0.6875,0.48029721349569454,0.7403778866340098
Credit Card,0.8201107142324552,0.5156330785968768,0.00039645770902193254,0.9766666666666667,0.84,0.03119344244810876,0.20166666666666666,0.20599999999999996,0.14,0.4149399380204558,0.2833333333333333,0.1796666666666667,0.65,0.9897527777777778,0.9150695603784085,0.44318507235906657,0.7778226125342654,0.03833333333333333,0.02,0.5217391304347826,0.23680086844756965,0.4731399876154688
