dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Diabetic Retinopathy,0.8787342182465081,0.4129558362952029,0.0,0.9233333333333333,0.75,0.011768455824732744,0.30666666666666664,0.24333333333333335,0.2,0.42351440920135847,0.4066666666666666,0.31333333333333335,0.78,0.9902333333333333,0.8832552954292084,0.3170967463707296,0.7826295565737924,0.06333333333333334,0.023333333333333334,0.3684210526315789,0.0025984114322604723,0.007174172977281734
Parkinsons,0.5162519892030635,0.1616230523731263,1.1313363339068221e-09,0.6410256410256411,0.015384615384615385,0.014610217816429608,0.13333333333333333,0.11794871794871795,0.041025641025641026,0.3019100104090902,0.03589743589743588,0.09743589743589744,0.3384615384615385,0.9004076265614727,0.8182394924662966,0.29719044340632517,0.6215471716394426,0.11282051282051282,0.041025641025641026,0.36363636363636365,0.1948749925353177,0.40986074520135485
Phishing Websites,0.34245905603051774,0.09381312829693501,0.0,0.87,0.5633333333333334,0.01121771452129784,0.07666666666666666,0.03333333333333333,0.07333333333333333,0.40708046614115573,0.13,0.07333333333333333,0.66,0.9809444444444444,0.9662207357859531,0.6158395844856018,0.874429899909247,0.1,0.07,0.7,0.009285245386868923,0.02536311378296552
EEG Eye State,0.9142612324319579,0.5808651302236718,0.009559177501576869,0.96,0.6866666666666666,0.016818734068310425,0.33666666666666667,0.31666666666666665,0.12,0.40899317975335214,0.18999999999999995,0.2633333333333333,0.84,0.9879666666666667,0.701917502787068,0.16317634676829496,0.5874790425293094,0.04666666666666667,0.023333333333333334,0.5,0.00722554601219183,0.01980198019801993
Vertebral Column,0.45102987942483985,0.1673773320816971,0.003402927645145336,0.36,0.2,0.0038942502839034512,0.08,0.06,0.058,0.33300830607880655,0.11199999999999999,0.096,0.412,0.952624,0.8097991967871486,0.2863089584487992,0.7211069239157102,0.024,0.016,0.6666666666666666,0.029049405545331308,0.07692307692307687
Rice,0.1730248097910056,0.08940088726568805,0.007612892152133666,0.36333333333333334,0.23,0.005817054384684737,0.043333333333333335,0.03,0.043333333333333335,0.21724426367402122,0.08999999999999997,0.03,0.21,0.9100333333333334,0.8690078037904125,0.3600541458819094,0.7390778122951335,0.023333333333333334,0.01,0.42857142857142855,0.015573102199988642,0.042116254785938056
Bank Marketing,0.722359441414584,0.2241211942159127,0.0,0.5366666666666666,0.42333333333333334,0.023107304554245367,0.1,0.10666666666666667,0.07166666666666667,0.3573560496273369,0.15000000000000002,0.09333333333333334,0.48,0.9547666666666667,0.9668227424749164,0.6238407148533822,0.8899557552849517,0.05333333333333334,0.04,0.75,0.48029721349569454,0.7403778866340098
Credit Card,0.7690753777392602,0.3746398145252153,1.7201997217280718e-06,0.9166666666666666,0.6366666666666667,0.028432701158264382,0.18333333333333332,0.18,0.12,0.40284369207524573,0.22666666666666668,0.15333333333333332,0.6633333333333333,0.9785333333333334,0.9212931995540691,0.49393659503522724,0.7836999490690961,0.07666666666666666,0.043333333333333335,0.5652173913043478,0.23983249703803444,0.4774665042630938
Iranian Churn,0.5639866665842211,0.14392974593901037,0.0,0.65,0.41333333333333333,0.018100915247266536,0.1,0.06666666666666667,0.05,0.19915298133406323,0.07999999999999996,0.08,0.24666666666666667,0.9165666666666666,0.9049721293199554,0.3050906066497794,0.7656347501999144,0.043333333333333335,0.02666666666666667,0.6153846153846154,0.3737248109258172,0.6408529402881391
CDC Diabetes,0.5521603004573253,0.22868767476438176,0.06714119258541927,0.6166666666666667,0.52,0.016966598241890354,0.15,0.16333333333333333,0.12666666666666668,0.4129356435396917,0.2833333333333333,0.17,0.7066666666666667,0.9873777777777778,0.973355629877369,0.5806503968758783,0.9009626028102529,0.07666666666666666,0.04666666666666667,0.6086956521739131,0.1994603075483824,0.4171092898097014
Online Shoppers,0.5877526140875503,0.21127330849687534,0.0,0.7966666666666666,0.6433333333333333,0.020883685247460156,0.12333333333333334,0.12,0.09333333333333334,0.368886847757116,0.18999999999999995,0.11,0.6,0.9707111111111111,0.9109030100334448,0.45089115889110587,0.7640943383608769,0.056666666666666664,0.04,0.7058823529411765,0.38188051089996156,0.6492976347700804
Heart Disease,0.7523530839623813,0.27618115289788453,0.17294140960929621,0.9406392694063926,0.7990867579908676,0.04111425072945277,0.1552511415525114,0.1643835616438356,0.1324200913242009,0.37098345840077873,0.2648401826484018,0.1232876712328767,0.589041095890411,0.9536706907695837,0.9700054459385866,0.6328581509078003,0.8854303702239229,0.0593607305936073,0.045662100456621,0.7692307692307693,0.18691756597518272,0.39707897463320074
Student Dropout,0.5268880360066485,0.0959507063751351,0.0,0.9833333333333333,0.8266666666666667,0.004859783967662872,0.07333333333333333,0.03333333333333333,0.135,0.42883764221109005,0.28,0.16666666666666666,0.76,0.9835555555555555,0.9665774804905239,0.7381131547195788,0.8297029143911736,0.12,0.06666666666666667,0.5555555555555556,0.0352004514949128,0.09233117130866075
Adult Income,0.7782676163062763,0.30947769910747114,0.005461501369475444,0.8133333333333334,0.5466666666666666,0.014238218911617627,0.19333333333333333,0.16,0.145,0.386547121618562,0.26,0.15333333333333332,0.63,0.9738666666666667,0.9721516164994426,0.583604708256527,0.898226096330161,0.04666666666666667,0.03666666666666667,0.7857142857142857,0.20495972061547774,0.4256926952141058
Heart Attack,0.5653239120002008,0.23369595137158822,0.13909668448872237,0.8461538461538461,0.7491638795986622,0.01682524765789789,0.14381270903010032,0.15384615384615385,0.1588628762541806,0.3919000934988075,0.3311036789297659,0.18394648829431437,0.6755852842809364,0.9880985671301216,0.9746582568292519,0.38095022672756784,0.9191153848079923,0.04013377926421405,0.026755852842809364,0.6666666666666666,0.09445849723273692,0.22705007436787306
Smoker Status,0.6878328602112516,0.24985494103722772,2.9110987778347117e-05,0.88,0.38666666666666666,0.019600096913630276,0.17333333333333334,0.13,0.14166666666666666,0.4450868152772286,0.29000000000000004,0.17,0.9066666666666666,0.9819444444444444,0.9943589743589744,0.8801380817897846,0.9429640266886407,0.14,0.08666666666666667,0.6190476190476191,0.09561854227550615,0.22946175637393773
