dataset,c1,c2,c3,c4,l1,l2,l3,s1,s2,s3,s4,t2,meta_label
Syn_Reg_2inf_0red,0.9976737519305771,0.271193679929777,-0.5,0.0,0.0009305824385984607,1.3561487750942007e-06,0.047298258279989944,0.4005871013998691,0.0035654562807519285,8.683474689589408e-07,0.0012971042449193746,75.0,unit
Syn_Reg_2inf_10red_noise,0.9434331492572139,0.10461277717900568,-0.5,0.0,0.006096228902570582,6.0710238454609736e-05,0.12649182528994424,0.9186527342865918,0.024263313912584586,4.355088948991323e-05,0.006371073428112019,20.0,RY
Syn_Reg_2inf_4red,0.989078989766553,0.16704196713296812,-0.5,0.0,0.001171736236759484,2.095605033374274e-06,0.08789566802618227,0.6252285137296486,0.011321907535241815,1.494884669249817e-06,0.0033173259234626786,37.5,unit
Syn_Reg_2inf_8red,0.7063589595439949,0.15645536802260765,0.38,0.02,0.001652119468201586,4.170093108616729e-06,0.0819270526498076,0.8067018358451672,0.010029106600189406,2.446378875943007e-06,0.0032698689966551443,25.0,unit
Syn_Reg_3inf_12red,0.9053318370204113,0.12001075567506306,-0.5,0.0,0.001118747139652022,2.035494224040816e-06,0.11605005160152676,0.9162162423695573,0.020763418237017675,1.4047816932910842e-06,0.005655777436515257,20.0,unit
Syn_Reg_5f_linear,0.837972421915799,0.3676240847120524,0.13666666666666666,0.11666666666666667,0.00013730099308929475,3.0743818114440843e-08,0.06556263127468757,0.4570326551159097,0.00636735075645514,2.010715637989851e-08,0.0014505485549866908,60.0,unit
Syn_Reg_corr_high,0.8588739874887498,0.7747766086289847,0.12,0.056666666666666664,0.04624457291864013,0.0034327159123610966,0.0795543410329058,0.30197546798541447,0.01052853730804415,0.00202842114561565,0.003259971772470091,60.0,unit
Syn_Reg_corr_highdim,0.65310770119668,0.3830287003188924,0.36,0.04666666666666667,0.019646687194245938,0.0005863779044280123,0.08205399490136385,0.6449837061302359,0.010089575625573713,0.00035549745036747907,0.0030564354268118625,30.0,unit
Syn_Reg_corr_interact,0.7885074278603095,0.6770636710778267,0.25333333333333335,0.0,0.01799749823195784,0.0005212520871956827,0.05451709731039793,0.40176022545267015,0.00459920094993211,0.0003484427321889708,0.0014218061433005666,50.0,unit
Syn_Reg_corr_low,0.6581268680763119,0.3749013211257902,0.44333333333333336,0.10333333333333333,0.03364544566244745,0.0018170584088304195,0.07823384963620325,0.4788748501771146,0.010014663204979953,0.001249105495937406,0.0033503725416078145,60.0,unit
