dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Vertebral Column,0.45102987942483985,0.1673773320816971,0.003402927645145336,0.36,0.2,0.0038942502839034512,0.08,0.068,0.058,0.33300830607880655,0.11199999999999999,0.072,0.412,0.952624,0.8097991967871486,0.2863089584487992,0.72110692391571,0.024,0.016,0.6666666666666666,0.029049405545331308,0.07692307692307687
Rice,0.2162114232496622,0.11521805815339925,0.005182460807517962,0.4666666666666667,0.31333333333333335,0.011222460383952228,0.09333333333333334,0.06666666666666667,0.07166666666666667,0.2343332235564425,0.13666666666666671,0.07333333333333333,0.28,0.9308333333333333,0.8887402452619844,0.36622871754888986,0.7575247003008289,0.023333333333333334,0.01,0.42857142857142855,0.015573102199988642,0.042116254785938056
Credit Card,0.6968988711660346,0.309448755487362,1.0137120449904643e-07,0.9233333333333333,0.59,0.020550208543581992,0.15,0.14,0.10833333333333334,0.394585352661499,0.19333333333333336,0.13333333333333333,0.58,0.9756,0.9013823857302118,0.43631931267276547,0.7467169695998703,0.07666666666666666,0.04,0.5217391304347826,0.23983249703803444,0.4774665042630938
Iranian Churn,0.4698250744639703,0.10217290817191549,0.0,0.6333333333333333,0.20666666666666667,0.0116341938113037,0.08666666666666667,0.07,0.041666666666666664,0.17250507127546788,0.06000000000000005,0.03666666666666667,0.19666666666666666,0.8913888888888889,0.9375250836120401,0.2715885121870122,0.841274457140649,0.043333333333333335,0.02666666666666667,0.6153846153846154,0.3737248109258172,0.6408529402881391
CDC Diabetes,0.5493542532342214,0.16937104101217904,0.08830756835171133,0.58,0.47333333333333333,0.016719193173009347,0.11,0.09666666666666666,0.10333333333333333,0.3350946703457187,0.1466666666666666,0.10666666666666667,0.5333333333333333,0.9756333333333334,0.9783723522853958,0.5905307204984598,0.9147991827067805,0.07666666666666666,0.04666666666666667,0.6086956521739131,0.1994603075483824,0.4171092898097014
Heart Disease,0.7523530839623813,0.27618115289788453,0.17294140960929621,0.9406392694063926,0.7990867579908676,0.04111425072945277,0.1552511415525114,0.1141552511415525,0.1324200913242009,0.37098345840077873,0.2648401826484018,0.1232876712328767,0.589041095890411,0.9536706907695837,0.9700054459385866,0.6328581509078003,0.8854303702239228,0.0593607305936073,0.045662100456621,0.7692307692307693,0.18691756597518272,0.39707897463320074
Student Dropout,0.4418239122453461,0.1138522917132685,0.0,0.97,0.7166666666666667,0.006653673147072526,0.08333333333333333,0.05333333333333334,0.11666666666666667,0.3915727509445128,0.20999999999999996,0.16,0.7,0.9767444444444444,0.9809364548494983,0.7291705617120967,0.9012391440639169,0.12,0.06666666666666667,0.5555555555555556,0.0352004514949128,0.09233117130866075
Adult Income,0.8105603555573112,0.3229109324467116,0.008571202363825817,0.8633333333333333,0.6133333333333333,0.023954754423398554,0.17666666666666667,0.16333333333333333,0.12166666666666667,0.38040206553935124,0.22666666666666668,0.11,0.51,0.9714666666666667,0.9708807134894092,0.6081872923272609,0.8861058475661162,0.04666666666666667,0.04,0.8571428571428571,0.20495972061547774,0.4256926952141058
Heart Attack,0.5653239120002008,0.23369595137158822,0.13909668448872237,0.8461538461538461,0.7491638795986622,0.01682524765789789,0.14381270903010032,0.11705685618729098,0.1588628762541806,0.3919000934988075,0.3311036789297659,0.20066889632107024,0.6755852842809364,0.9880985671301216,0.9746582568292519,0.38095022672756784,0.9191153848079924,0.04013377926421405,0.026755852842809364,0.6666666666666666,0.09445849723273692,0.22705007436787306
Smoker Status,0.6661376533119042,0.24505156845121853,7.652375082440346e-05,0.86,0.4666666666666667,0.01752705896133923,0.15,0.11,0.16,0.4455990122288445,0.32333333333333336,0.11666666666666667,0.89,0.9819444444444444,0.9992642140468228,0.962,0.9786569355833787,0.14,0.09,0.6428571428571429,0.09561854227550615,0.22946175637393773
Spambase,0.6329267998325874,0.12042721335005957,0.0,0.7733333333333333,0.0,0.004053107876534616,0.08,0.05,0.11333333333333333,0.39317798137129567,0.18333333333333335,0.09,0.61,0.9744444444444444,0.890680044593088,0.3861259053756857,0.7425499833294655,0.19,0.13666666666666666,0.7192982456140351,0.033082990640319165,0.0870600238054754
TicTacToe,0.9346558228329718,0.7279548617861086,1.0,1.0,1.0,0.11170873954516948,0.31,0.33666666666666667,0.115,0.35701381831089674,0.1466666666666666,0.16333333333333333,0.7866666666666666,0.9856444444444444,0.989721293199554,0.6266772486772487,0.9611911799303293,0.03,0.02666666666666667,0.8888888888888888,0.06894417661496721,0.17192070198245046
BankNote Auth,0.32864342913395167,0.03672227206608237,0.11880579161766025,0.5366666666666666,0.11333333333333333,0.0005541216828330974,0.02666666666666667,0.016666666666666666,0.005,0.12519064214793096,0.00666666666666671,0.0,0.12,0.9048777777777778,0.9082720178372352,0.2904659532514704,0.8124848806413747,0.013333333333333334,0.01,0.75,0.009285245386868923,0.02536311378296552
Pima Diabetes,0.7043028553593282,0.3231245533151917,0.09634336594395616,0.9333333333333333,0.82,0.02055954496829894,0.22666666666666666,0.19333333333333333,0.15333333333333332,0.314747166217114,0.18666666666666665,0.14,0.5233333333333333,0.9750333333333333,0.9643255295429208,0.5217878712031001,0.8512786864899274,0.02666666666666667,0.023333333333333334,0.875,0.06894417661496721,0.17192070198245046
Syn_Blobs_8f_easy,0.002119457153623334,0.0003357060819914101,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.058294794556250126,0.0,0.0,0.01,0.5,0.5066834170854271,0.007433060573159733,0.5026355505590361,0.04,0.005,0.125,0.0,0.0
Syn_Blobs_2f_med,0.06853121354324065,0.01960133230799206,0.004559299799545083,0.02,0.0,0.0,0.0,0.0,0.0025,0.039969655770244,0.0,0.0,0.01,0.511325,0.6598492462311558,0.16215055051289706,0.6096519153741522,0.01,0.01,1.0,0.0,0.0
Syn_Blobs_2f_hard,0.2131480074888369,0.07085412446340653,0.18665122377034551,0.535,0.205,0.001391864849921314,0.03,0.005,0.03,0.10190492279110343,0.06000000000000005,0.0,0.09,0.7501,0.7730150753768844,0.25954748588995413,0.6989321916470469,0.01,0.01,1.0,0.0,0.0
Syn_Imbal_20_80,0.5229869810873253,0.23000564635931842,0.056811603753743715,0.6766666666666666,0.44666666666666666,0.011341273857193785,0.13,0.15,0.09,0.27305622696425086,0.15333333333333332,0.12,0.31666666666666665,0.9158111111111111,0.892329988851728,0.3985658748647968,0.7339444840677802,0.016666666666666666,0.013333333333333334,0.8,0.2780719051126377,0.5294117647058824
Syn_Moons_lownoise,0.2594884343335505,0.11586667931850224,0.14161927868179866,0.39,0.195,0.013301834119471495,0.125,0.055,0.0025,0.06190275811424902,0.0,0.13,0.065,0.8327,0.8888442211055276,0.24247784259991734,0.8143510114907491,0.01,0.01,1.0,0.0,0.0
Syn_Moons_mednoise,0.32855258177151103,0.14697155731934322,0.22668122379852673,0.64,0.355,0.015109556130444238,0.155,0.065,0.0325,0.13071677909372936,0.06499999999999995,0.085,0.1,0.9062250000000001,0.8891457286432161,0.2785149046011246,0.7438506679344452,0.01,0.01,1.0,0.0,0.0
Syn_Moons_highnoise,0.44072876488605467,0.19939544841107948,0.30546888471903944,0.755,0.6,0.017540855964332046,0.19,0.155,0.095,0.19630207399398594,0.16500000000000004,0.145,0.275,0.94715,0.8913065326633166,0.3244425689366116,0.7615217113474871,0.01,0.01,1.0,0.0,0.0
Syn_Circles_loose,0.9999621602177637,0.9999068853611062,0.5682919228269497,0.855,0.745,0.10142182134001815,0.495,0.54,0.1275,0.2796179582111717,0.21999999999999997,0.255,0.4,0.977725,0.9355778894472362,0.30293818742018375,0.8757258528866401,0.01,0.01,1.0,0.0,0.0
Syn_Clf_2inf_0red,0.19573004244200082,0.10409005823028084,0.2797001569688872,0.58,0.44666666666666666,0.00400281276465595,0.07,0.016666666666666666,0.043333333333333335,0.28913362788347496,0.07999999999999996,0.04666666666666667,0.31,0.9510888888888889,0.9606020066889632,0.4951464722108485,0.8824307246836456,0.013333333333333334,0.013333333333333334,1.0,0.0,0.0
Syn_Clf_2inf_4red,0.1943359414360154,0.10373163249648244,0.0177155726424476,0.5633333333333334,0.0033333333333333335,0.006680707614909318,0.07666666666666666,0.043333333333333335,0.03333333333333333,0.25836601790175695,0.06000000000000005,0.043333333333333335,0.19,0.9095222222222222,0.9183277591973245,0.35134088481754766,0.834826929579519,0.02666666666666667,0.013333333333333334,0.5,0.0,0.0
Syn_Clf_2inf_8red,0.1930215849966971,0.10376283005070792,0.0009076041696071004,0.43666666666666665,0.006666666666666667,0.008513157172156307,0.07666666666666666,0.04,0.02666666666666667,0.2384598873698539,0.043333333333333335,0.04666666666666667,0.15333333333333332,0.8975444444444445,0.9008472686733556,0.30098902047432474,0.8261481531349767,0.04,0.013333333333333334,0.3333333333333333,0.0,0.0
Syn_HighDim_10f,0.6620596600470516,0.37845276584315246,0.04583321149781228,0.8466666666666667,0.59,0.027425650274600342,0.23,0.17666666666666667,0.10666666666666667,0.22605710636992396,0.08999999999999997,0.10666666666666667,0.43,0.9608333333333333,0.986778149386845,0.459938540217952,0.9502844798610359,0.03333333333333333,0.023333333333333334,0.7,3.206012728240726e-05,8.888493844727563e-05
Syn_HighDim_20f,0.7051091191469171,0.33810021911764326,0.0008183859571105834,0.8366666666666667,0.16333333333333333,0.027842930018934155,0.21666666666666667,0.15333333333333332,0.14333333333333334,0.2714400861152113,0.1233333333333333,0.16666666666666666,0.6,0.9770111111111112,0.9956298773690078,0.6451904761904761,0.977437715212377,0.06666666666666667,0.03666666666666667,0.55,3.206012728240726e-05,8.888493844727563e-05
Syn_HighDim_30f,0.6953096443179992,0.3977808741267683,0.00047721868625387004,0.8766666666666667,0.0,0.03954428557401326,0.31333333333333335,0.25,0.14833333333333334,0.26768080345254974,0.11333333333333329,0.11333333333333333,0.6333333333333333,0.9748666666666667,0.9964102564102564,0.6799999999999999,0.9833333333333334,0.1,0.043333333333333335,0.43333333333333335,3.206012728240726e-05,8.888493844727563e-05
Syn_Medium_n200,0.3228241631760574,0.18794357776404202,0.16349570870780286,0.675,0.585,0.01141595800541068,0.145,0.095,0.0975,0.2970437230632551,0.17000000000000004,0.095,0.385,0.9594,0.9251256281407035,0.411445187784897,0.8410163688586301,0.02,0.015,0.75,0.0,0.0
Syn_Large_n600,0.26434850528578063,0.13810001437709,0.22980107480578105,0.5966666666666667,0.5033333333333333,0.007106593725970465,0.11333333333333333,0.06666666666666667,0.07833333333333334,0.15715142389450795,0.07999999999999996,0.09,0.20333333333333334,0.9181555555555556,0.9342251950947603,0.3568353035120544,0.857702633329968,0.013333333333333334,0.01,0.75,3.206012728240726e-05,8.888493844727563e-05
Syn_Corr_low,0.32153471494940405,0.1548038426561639,0.09751529265362599,0.7633333333333333,0.6,0.006683528406629217,0.10333333333333333,0.04,0.05333333333333334,0.3455762930854152,0.1266666666666667,0.056666666666666664,0.4033333333333333,0.9535,0.9589297658862876,0.5576037672817951,0.8725133312722507,0.02,0.016666666666666666,0.8333333333333334,0.000288558247189985,0.000799680127948954
